,Fecha,Hora,Producto,Accion,Modulo,Usuario,Host
70,05/05/2022,15:33:30,adskflex,IN,64801INVPROSA_F,upm,etsidi00062
71,05/05/2022,15:33:30,adskflex,IN,87537INVPROSA_2022_0F,upm,etsidi00062
72,05/05/2022,15:40:44,adskflex,OUT,64801INVPROSA_F,upm,etsidi00002
73,05/05/2022,15:40:44,adskflex,OUT,87537INVPROSA_2022_0F,upm,etsidi00002
74,05/05/2022,16:17:44,adskflex,OUT,64300ACD_F,UPM,upm00000
75,05/05/2022,16:17:44,adskflex,OUT,87545ACD_2022_0F,UPM,upm00000
76,05/05/2022,16:17:56,adskflex,OUT,64900CIV3D_F,UPM,upm00000
77,05/05/2022,16:17:56,adskflex,OUT,87556CIV3D_2022_0F,UPM,upm00000
78,05/05/2022,16:18:09,adskflex,IN,87556CIV3D_2022_0F,UPM,upm00000
79,05/05/2022,16:18:09,adskflex,IN,64900CIV3D_F,UPM,upm00000
80,05/05/2022,16:41:39,adskflex,OUT,64801INVPROSA_F,UPM,upm00014
81,05/05/2022,16:41:39,adskflex,OUT,87537INVPROSA_2022_0F,UPM,upm00014
82,05/05/2022,16:57:50,adskflex,OUT,64300ACD_F,UPM,upm00020
83,05/05/2022,16:57:50,adskflex,OUT,87545ACD_2022_0F,UPM,upm00020
84,05/05/2022,17:05:10,adskflex,OUT,64300ACD_F,UPM,upm00028
85,05/05/2022,17:05:10,adskflex,OUT,87545ACD_2022_0F,UPM,upm00028
86,05/05/2022,17:09:27,adskflex,OUT,64801INVPROSA_F,UPM,upm00034
87,05/05/2022,17:09:27,adskflex,OUT,87537INVPROSA_2022_0F,UPM,upm00034
88,05/05/2022,17:16:34,adskflex,OUT,64300ACD_F,UPM,upm00050
89,05/05/2022,17:16:34,adskflex,OUT,87545ACD_2022_0F,UPM,upm00050
90,05/05/2022,17:28:43,adskflex,IN,87545ACD_2022_0F,UPM,upm00000
91,05/05/2022,17:28:43,adskflex,IN,64300ACD_F,UPM,upm00000
92,05/05/2022,17:32:03,adskflex,OUT,64801INVPROSA_F,UPM,upm00059
93,05/05/2022,17:32:03,adskflex,OUT,87537INVPROSA_2022_0F,UPM,upm00059
94,05/05/2022,17:44:31,adskflex,OUT,64801INVPROSA_F,upm,etsidi00005
95,05/05/2022,17:44:31,adskflex,OUT,87537INVPROSA_2022_0F,upm,etsidi00005
96,05/05/2022,17:44:56,adskflex,IN,87537INVPROSA_2022_0F,upm,etsidi00005
97,05/05/2022,17:44:56,adskflex,IN,64801INVPROSA_F,upm,etsidi00005
98,05/05/2022,17:46:52,adskflex,OUT,64801INVPROSA_F,upm,etsidi00005
99,05/05/2022,17:46:52,adskflex,OUT,87537INVPROSA_2022_0F,upm,etsidi00005
100,05/05/2022,18:21:54,adskflex,IN,64801INVPROSA_F,upm,etsidi00002
